Knjiga, Book, 1
Zid, wall, 1
Slika, Picture, 1
Stol, Table, 1
Ormar, Wardrobe, 1
Prozor, Window, 1
Zvucnik, Speaker, 1
Lampa, Lamp, 1
Pod, Floor, 1
Zgrada, Building, 1
Trava, Grass, 1
Cesta, Road, 1
Visoko, Tall, 1
Zelja, Wish, 1
Kasika, Spoon, 1
